lineNumber;date;time;countSpec;countFac;countGr;countPers;countCounter;countStud;countContracts;countErrors;countExcep;totalNumberCreate;totalNumberUpdate;createSpec;createFac;createGr;createPers;createCitizenship;createPasport;createInfo;createHistory;createCountry;createCounter;createStud;createContracts;updateSpec;updateFac;updateGr;updatePers;updateCounter;updateStud;updateContracts
1;16.10.2024 1:30;139;108;16;680;5122;5122;5130;5079;0;0;24;2;0;0;0;2;2;2;10;2;0;2;2;2;0;0;2;0;0;0;0
2;17.10.2024 1:30;193;108;16;680;5121;5121;5129;5079;0;1;3;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;1;1
3;18.10.2024 12:55;189;108;16;680;5138;5138;5146;5078;0;0;164;44;0;0;2;3;19;20;75;20;0;3;19;3;0;0;1;17;18;5;3
4;21.10.2024 10:17;217;108;16;680;5138;5138;5146;5080;0;0;458;8;0;0;0;24;24;24;106;24;0;24;68;164;0;0;2;2;2;2;0
5;21.10.2024 10:31;227;108;16;680;5138;5138;5146;5080;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
6;23.10.2024 10:17;212;107;16;678;5139;5139;5147;5159;0;0;74;8;0;0;0;4;7;7;26;7;0;3;7;13;0;0;1;3;4;0;0
7;23.10.2024 10:22;188;107;16;678;5139;5139;5147;5159;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
8;23.10.2024 10:28;180;107;16;678;5139;5139;5147;5159;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
9;23.10.2024 15:54;174;107;16;678;5145;5145;5153;5166;0;0;90;12;0;0;0;7;9;9;35;9;0;7;9;5;0;0;2;2;2;0;6
10;24.10.2024 1:30;242;107;16;677;5145;5145;5153;5166;0;0;12;2;0;0;0;1;1;1;5;1;0;1;1;1;0;0;2;0;0;0;0
11;25.10.2024 1:30;180;107;16;675;5145;5145;5153;5168;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
12;26.10.2024 1:30;171;107;16;674;5144;5144;5152;5167;0;0;20;0;0;0;0;2;2;3;5;2;0;2;2;2;0;0;0;0;0;0;0
13;27.10.2024 1:30;191;107;16;674;5144;5144;5152;5167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;28.10.2024 1:30;189;107;16;674;5144;5144;5152;5167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;29.10.2024 1:30;194;107;16;674;5144;5144;5152;5167;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
