iter	Passed	Remaining
0	3	3179
1	6	3199
2	9	2991
3	11	2881
4	14	2808
5	16	2802
6	19	2819
7	22	2784
8	25	2768
9	27	2733
10	30	2745
11	33	2772
12	36	2785
13	39	2750
14	42	2762
15	44	2758
16	47	2760
17	50	2774
18	53	2783
19	56	2769
20	59	2764
21	61	2738
22	64	2729
23	66	2720
24	69	2710
25	72	2701
26	74	2690
27	77	2678
28	79	2672
29	82	2669
30	85	2674
31	88	2678
32	90	2664
33	94	2675
34	97	2694
35	101	2710
36	104	2709
37	106	2698
38	109	2696
39	112	2707
40	116	2722
41	119	2730
42	122	2734
43	125	2737
44	128	2734
45	131	2729
46	134	2722
47	136	2714
48	140	2717
49	143	2729
50	146	2727
51	148	2714
52	151	2709
53	154	2704
54	157	2703
55	160	2704
56	163	2708
57	166	2709
58	169	2708
59	173	2713
60	175	2704
61	178	2696
62	180	2690
63	183	2689
64	187	2697
65	190	2697
66	193	2693
67	196	2687
68	198	2678
69	201	2672
70	203	2666
71	206	2661
72	209	2656
73	211	2650
74	214	2643
75	216	2637
76	220	2640
77	223	2642
78	226	2639
79	228	2629
80	231	2626
81	234	2624
82	237	2622
83	240	2622
84	243	2618
85	245	2612
86	248	2607
87	251	2605
88	254	2604
89	258	2609
90	260	2602
91	263	2601
92	266	2602
93	270	2608
94	274	2611
95	276	2605
96	280	2609
97	283	2612
98	286	2610
99	289	2606
100	292	2605
101	295	2602
102	298	2598
103	300	2593
104	303	2588
105	306	2587
106	308	2578
107	311	2574
108	314	2570
109	317	2566
110	319	2559
111	323	2562
112	325	2558
113	329	2557
114	331	2553
115	334	2548
116	336	2542
117	339	2540
118	342	2534
119	344	2528
120	347	2526
121	350	2522
122	353	2522
123	356	2521
124	360	2522
125	363	2523
126	366	2522
127	369	2518
128	372	2514
129	375	2513
130	377	2505
131	380	2500
132	382	2495
133	385	2492
134	388	2488
135	391	2488
136	394	2484
137	397	2482
138	400	2480
139	403	2476
140	405	2473
141	408	2468
142	411	2465
143	414	2461
144	416	2456
145	419	2452
146	422	2451
147	425	2448
148	427	2444
149	430	2441
150	433	2438
151	435	2432
152	439	2431
153	441	2426
154	444	2423
155	447	2419
156	450	2416
157	452	2412
158	455	2408
159	458	2406
160	461	2403
